scheme,error_type,trials,detected,missed,detect_rate,total_ms
CHECKSUM16,single-bit,5000,5000,0,100,12.393
CHECKSUM16,two-isolated,5000,5000,0,100,11.882
CHECKSUM16,odd-errors,5000,5000,0,100,442.752
CHECKSUM16,burst,5000,5000,0,100,8.548
CRC8,single-bit,5000,5000,0,100,92.099
CRC8,two-isolated,5000,5000,0,100,94.492
CRC8,odd-errors,5000,5000,0,100,518.858
CRC8,burst,5000,5000,0,100,88.776
CRC10,single-bit,5000,5000,0,100,100.117
CRC10,two-isolated,5000,5000,0,100,96.674
CRC10,odd-errors,5000,5000,0,100,497.08
CRC10,burst,5000,5000,0,100,75.624
CRC16,single-bit,5000,5000,0,100,94.836
CRC16,two-isolated,5000,5000,0,100,92.36
CRC16,odd-errors,5000,5000,0,100,468.1
CRC16,burst,5000,5000,0,100,90.996
CRC32,single-bit,5000,5000,0,100,184.237
CRC32,two-isolated,5000,5000,0,100,179.498
CRC32,odd-errors,5000,5000,0,100,554.03
CRC32,burst,5000,5000,0,100,178.368

