protocol,window,loss_prob,error_prob,fcs,total_frames,tx_attempts,retransmissions,dropped,corrupted,elapsed_ms,avg_rtt_ms,throughput_Bps,efficiency_pct,correct
stop_and_wait,1,0.00,0.00,CRC32,730,730,0,0,0,12638.460,17.310,2655.862,100.000,OK
go_back_n,1,0.00,0.00,CRC32,730,730,0,0,0,12113.247,8.517,2771.016,100.000,OK
go_back_n,2,0.00,0.00,CRC32,730,730,0,0,0,7779.241,13.378,4314.817,100.000,OK
go_back_n,4,0.00,0.00,CRC32,730,730,0,0,0,6674.541,28.116,5028.960,100.000,OK
go_back_n,8,0.00,0.00,CRC32,730,730,0,0,0,6470.221,61.926,5187.767,100.000,OK
go_back_n,16,0.00,0.00,CRC32,730,730,0,0,0,6066.156,122.488,5533.323,100.000,OK
selective_repeat,1,0.00,0.00,CRC32,730,730,0,0,0,12041.070,16.477,2787.626,100.000,OK
selective_repeat,2,0.00,0.00,CRC32,730,730,0,0,0,7788.870,21.320,4309.483,100.000,OK
selective_repeat,4,0.00,0.00,CRC32,730,730,0,0,0,6629.612,36.241,5063.041,100.000,OK
selective_repeat,8,0.00,0.00,CRC32,730,758,28,0,0,6488.755,68.219,5172.949,96.306,OK
selective_repeat,16,0.00,0.00,CRC32,730,833,103,0,0,7356.692,140.507,4562.649,87.635,OK
