protocol,window,loss_prob,error_prob,fcs,total_frames,tx_attempts,retransmissions,dropped,corrupted,elapsed_ms,avg_rtt_ms,throughput_Bps,efficiency_pct,correct
stop_and_wait,1,0.00,0.00,CRC32,66,66,0,0,0,1029.955,15.603,2912.748,100.000,OK
stop_and_wait,1,0.05,0.05,CRC32,66,77,11,5,1,1531.499,16.770,1958.866,85.714,OK
stop_and_wait,1,0.10,0.10,CRC32,66,114,48,13,11,3169.428,16.105,946.543,57.895,OK
stop_and_wait,1,0.15,0.15,CRC32,66,109,43,14,11,2793.229,15.914,1074.026,60.550,OK
stop_and_wait,1,0.20,0.20,CRC32,66,161,95,36,28,5059.136,17.158,592.987,40.994,OK
stop_and_wait,1,0.25,0.25,CRC32,66,207,141,50,40,8094.960,16.615,370.601,31.884,OK
go_back_n,4,0.00,0.00,CRC32,66,66,0,0,0,634.595,27.954,4727.422,100.000,OK
go_back_n,4,0.05,0.05,CRC32,66,98,32,4,5,1413.026,25.515,2123.103,67.347,OK
go_back_n,4,0.10,0.10,CRC32,66,129,63,16,11,2088.720,27.150,1436.287,51.163,OK
go_back_n,4,0.15,0.15,CRC32,66,187,121,32,21,4379.941,32.125,684.941,35.294,OK
go_back_n,4,0.20,0.20,CRC32,66,310,244,75,57,7068.326,22.525,424.429,21.290,OK
go_back_n,4,0.25,0.25,CRC32,66,291,225,64,65,9253.546,26.042,324.200,22.680,OK
selective_repeat,4,0.00,0.00,CRC32,66,66,0,0,0,565.703,33.490,5303.132,100.000,OK
selective_repeat,4,0.05,0.05,CRC32,66,80,14,1,9,1318.658,37.733,2275.040,82.500,OK
selective_repeat,4,0.10,0.10,CRC32,66,93,27,6,8,2062.622,35.317,1454.459,70.968,OK
selective_repeat,4,0.15,0.15,CRC32,66,124,58,19,16,2406.411,28.203,1246.670,53.226,OK
selective_repeat,4,0.20,0.20,CRC32,66,150,84,34,24,5955.466,32.308,503.739,44.000,OK
selective_repeat,4,0.25,0.25,CRC32,66,205,139,56,25,7248.131,32.655,413.900,32.195,OK
